City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,Tay Ninh,11.3,106.1,99.9,29,17,3.04,VN,2022-03-26 09:30:53
111,Clyde River,70.4692,-68.5914,-7.37,77,100,3.44,CA,2022-03-26 09:30:54
112,Barrow,71.2906,-156.7887,-2.18,78,40,19.57,US,2022-03-26 09:30:55
113,Hithadhoo,-0.6,73.0833,83.82,68,6,13.69,MV,2022-03-26 09:30:56
114,Pevek,69.7008,170.3133,-11.9,98,52,3.83,RU,2022-03-26 09:30:57
115,Saint-Francois,46.4154,3.9054,54.41,58,0,1.14,FR,2022-03-26 09:30:58
116,Dingle,10.9995,122.6711,82.76,65,51,7.07,PH,2022-03-26 09:31:00
117,Ardakan,32.31,54.0175,71.96,7,0,4.36,IR,2022-03-26 09:31:01
118,Eskisehir,39.7767,30.5206,39.11,65,40,12.66,TR,2022-03-26 09:26:24
119,Beringovskiy,63.05,179.3167,-2.2,100,54,4.52,RU,2022-03-26 09:31:02
120,Bratsk,56.1325,101.6142,30.69,73,98,12.95,RU,2022-03-26 09:31:04
121,Thompson,55.7435,-97.8558,-14.64,70,0,8.05,CA,2022-03-26 09:30:41
122,Lyuban,52.7985,28.0048,46.65,74,100,21.18,BY,2022-03-26 09:31:05
123,Sturgeon Bay,44.8342,-87.377,28.76,74,100,12.66,US,2022-03-26 09:31:06
124,Ayame,5.6083,-3.1563,86.94,63,79,3.69,CI,2022-03-26 09:31:07
125,Hofn,64.2539,-15.2082,40.32,92,100,4.85,IS,2022-03-26 09:31:08
126,Nanortalik,60.1432,-45.2371,24.26,73,9,5.23,GL,2022-03-26 09:31:09
127,Mahajanga,-15.7167,46.3167,91.42,70,40,9.22,MG,2022-03-26 09:31:10
128,Kropotkin,45.4375,40.5756,46.22,58,99,10.47,RU,2022-03-26 09:31:02
129,Fortuna,40.5982,-124.1573,44.65,100,0,6.91,US,2022-03-26 09:31:13
130,Vila Franca Do Campo,37.7167,-25.4333,59.41,93,100,25.03,PT,2022-03-26 09:31:14
131,Hobart,-42.8794,147.3294,64.26,87,0,4.61,AU,2022-03-26 09:30:08
132,Castro,-24.7911,-50.0119,64.11,98,100,2.68,BR,2022-03-26 09:30:27
133,Friesach,46.9553,14.4058,59.97,46,4,2.8,AT,2022-03-26 09:31:17
134,Santa Cruz,-17.8,-63.1667,62.06,88,75,3.44,BO,2022-03-26 09:27:05
135,Qaanaaq,77.484,-69.3632,2.77,85,100,5.95,GL,2022-03-26 09:31:19
136,Pundaguitan,6.3711,126.1689,78.42,76,100,12.12,PH,2022-03-26 09:31:20
137,Smithers,54.7804,-127.1743,32.32,80,100,2.3,CA,2022-03-26 09:30:14
138,Ribeira Grande,38.5167,-28.7,55.8,94,75,5.75,PT,2022-03-26 09:32:22
139,Severo-Yeniseyskiy,60.3725,93.0408,26.65,91,100,9.69,RU,2022-03-26 09:32:23
140,Bilibino,68.0546,166.4372,-6.12,100,98,3.15,RU,2022-03-26 09:32:24
141,Wertheim,49.7575,9.5094,59.5,45,0,7.7,DE,2022-03-26 09:32:25
142,Meulaboh,4.1363,96.1285,84.38,71,43,4.97,ID,2022-03-26 09:32:26
143,Acapulco,16.8634,-99.8901,69.62,83,75,2.3,MX,2022-03-26 09:30:35
144,Saldanha,-33.0117,17.9442,77.05,59,1,9.48,ZA,2022-03-26 09:32:28
145,Sambava,-14.2667,50.1667,85.12,68,16,10.38,MG,2022-03-26 09:32:29
146,Muros,42.7762,-9.0603,57.69,95,96,4.59,ES,2022-03-26 09:32:30
147,Port Arthur,38.8,121.2667,53.82,69,96,10.8,CN,2022-03-26 09:32:31
148,Nampula,-15.1165,39.2666,85.95,66,75,3.44,MZ,2022-03-26 09:32:32
149,Yar-Sale,66.8333,70.8333,5.86,87,23,1.5,RU,2022-03-26 09:32:33
150,Oranjemund,-28.55,16.4333,67.06,66,0,10.16,NA,2022-03-26 09:32:35
151,Nassau,40.7507,-73.5829,49.08,63,75,6.91,US,2022-03-26 09:30:41
152,Karaton,-6.3424,106.1045,76.46,91,96,3.8,ID,2022-03-26 09:32:37
153,Spokane,47.6166,-117.3677,42.26,71,0,5.75,US,2022-03-26 09:32:38
154,Nikolskoye,59.7035,30.7861,35.71,85,100,15.66,RU,2022-03-26 09:32:39
155,Fallon,39.4735,-118.7774,58.91,46,0,4.61,US,2022-03-26 09:29:30
156,Malampaka,-3.1333,33.5333,74.16,67,92,5.5,TZ,2022-03-26 09:32:41
157,Codrington,-38.2667,141.9667,59.65,91,0,10.33,AU,2022-03-26 09:32:42
158,Longyearbyen,78.2186,15.6401,3.04,66,20,4.61,SJ,2022-03-26 09:32:43
159,Rehoboth,-23.3167,17.0833,76.64,41,20,4.47,NA,2022-03-26 09:32:44
160,Aksha,50.2814,113.2867,28.89,38,91,17.0,RU,2022-03-26 09:32:45
161,Muzhi,65.3667,64.6667,24.69,72,98,16.51,RU,2022-03-26 09:32:46
162,New Norfolk,-42.7826,147.0587,63.9,91,0,2.37,AU,2022-03-26 09:32:47
163,Novyy Urengoy,66.0833,76.6333,9.48,89,100,20.69,RU,2022-03-26 09:32:48
164,La Ronge,55.1001,-105.2842,-7.35,59,0,1.14,CA,2022-03-26 09:32:48
165,Svetlaya,46.5389,138.3297,32.34,99,100,12.24,RU,2022-03-26 09:32:49
166,Marzuq,14.4,46.4667,88.83,15,7,12.88,YE,2022-03-26 09:32:50
167,Kirakira,-10.4544,161.9205,80.47,83,100,5.86,SB,2022-03-26 09:32:51
168,Charcas,23.1333,-101.1167,44.87,44,4,4.18,MX,2022-03-26 09:32:52
169,Nioro,13.35,-15.75,83.71,17,25,6.51,GM,2022-03-26 09:32:53
170,Vostok,46.4856,135.8833,31.17,100,100,1.88,RU,2022-03-26 09:32:54
171,Sur,22.5667,59.5289,89.98,30,0,7.38,OM,2022-03-26 09:32:55
172,Gat,31.61,34.7642,64.4,37,0,7.58,IL,2022-03-26 09:29:03
173,Kavieng,-2.5744,150.7967,82.56,73,95,6.78,PG,2022-03-26 09:32:57
174,Los Llanos De Aridane,28.6585,-17.9182,63.12,59,20,11.5,ES,2022-03-26 09:32:58
175,Provideniya,64.3833,-173.3,7.7,93,16,4.27,RU,2022-03-26 09:33:00
176,Bichura,50.5881,107.6022,28.56,73,51,3.49,RU,2022-03-26 09:33:01
177,Punta De Bombon,-17.1717,-71.7931,68.2,85,46,4.9,PE,2022-03-26 09:33:02
178,Zhigansk,66.7697,123.3711,7.66,97,88,7.11,RU,2022-03-26 09:33:03
179,Camacha,33.0833,-16.3333,58.42,72,40,8.05,PT,2022-03-26 09:33:04
180,Chokurdakh,70.6333,147.9167,2.32,95,100,12.77,RU,2022-03-26 09:33:05
181,Arlit,18.7369,7.3853,92.28,7,23,11.32,NE,2022-03-26 09:33:06
182,Oro Valley,32.3909,-110.9665,72.27,19,97,3.0,US,2022-03-26 09:33:08
183,Port Elizabeth,-33.918,25.5701,70.32,75,75,6.91,ZA,2022-03-26 09:33:09
184,Mitsamiouli,-11.3847,43.2844,89.89,66,20,6.91,KM,2022-03-26 09:34:10
185,Oussouye,12.485,-16.5469,71.78,32,29,6.58,SN,2022-03-26 09:34:11
186,Vestmannaeyjar,63.4427,-20.2734,47.39,100,100,21.85,IS,2022-03-26 09:34:12
