City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
386,Jaynagar-Majilpur,IN,78.57,few clouds,22.1758,88.4178,Joychanditala Sarbojonin Durga Utsav Committee
390,Luganville,VU,83.66,moderate rain,-15.5333,167.1667,The Espiritu Hotel
393,Kalmunai,LK,78.51,clear sky,7.4167,81.8167,VS Villa
396,Mackay,AU,86.68,clear sky,-21.15,149.2,International Lodge Motel
397,Kathu,TH,86.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
405,Kieta,PG,85.35,light rain,-6.2167,155.6333,Uruna Bay Retreat
415,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
416,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
419,Sao Joao Da Barra,BR,77.11,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
421,Daru,PG,78.22,overcast clouds,-9.0763,143.2092,Daru Lodge
431,Conakry,GN,80.67,haze,9.538,-13.6773,Riviera Royal Hotel
438,Pedernales,DO,77.02,broken clouds,18.0384,-71.744,Hotel Costa Marina
439,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
444,Sola,VU,88.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
445,Tabou,CI,80.08,broken clouds,4.423,-7.3528,hotêl doufoulougou
446,Lethem,GY,78.46,overcast clouds,3.3803,-59.7968,Savannah Inn
448,Mumford,GH,80.71,broken clouds,5.2618,-0.759,Spanish Villa
450,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
451,Faanui,PF,82.67,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
456,Buala,SB,82.94,light rain,-8.145,159.5921,Maringe Lagoon Lodge
459,Bundaberg,AU,81.21,clear sky,-24.85,152.35,Takalvan Motel
462,Belmonte,BR,77.63,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
469,Soyo,AO,80.13,overcast clouds,-6.1349,12.3689,Hotel Mpampa
470,Kefamenanu,ID,79.74,broken clouds,-9.4467,124.4781,Sokowindo Losmen
473,Kailua,US,80.74,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
475,Caraballeda,VE,77.52,broken clouds,10.6112,-66.8522,Hotel 15 Letras
485,Harper,LR,80.06,scattered clouds,4.375,-7.7169,Screensaver
486,Nobres,BR,75.2,light rain,-14.7203,-56.3275,Hotel Portal Nobres
487,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
492,Vaitape,PF,82.67,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
501,Vao,NC,77.05,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
504,Key West,US,77.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
505,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
510,Mogadishu,SO,80.15,broken clouds,2.0371,45.3438,Hotel Juba
512,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
513,Kulhudhuffushi,MV,82.27,few clouds,6.6221,73.07,Haajy Guest House 1
515,Anahuac,MX,80.74,overcast clouds,27.2333,-100.15,HOTEL SAN FELIPE
521,Puerto Escondido,MX,79.41,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
522,Katherine,AU,86.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
526,Tlayacapan,MX,84.85,few clouds,18.9333,-98.9833,Hotel Oaxtepec
528,Karaton,ID,79.14,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
537,Quatre Cocos,MU,75.31,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
539,Nortelandia,BR,75.13,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
546,Winneba,GH,80.33,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
548,Pouembout,NC,84.74,scattered clouds,-21.1333,164.9,Camping de Tipenga
555,Kiama,AU,75.99,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
557,Meadow Lake,US,78.28,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
558,Kaeo,NZ,75.33,clear sky,-35.1,173.7833,Bushido Lodge
559,Pokaran,IN,76.21,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
561,Sorong,ID,80.98,broken clouds,-0.8833,131.25,Waigo Splash Hotel
562,Makaha,US,80.65,light rain,21.4694,-158.2175,Hawaiian Princess Resort
564,Berbera,SO,78.94,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
568,Jalingo,NG,77.49,scattered clouds,8.8833,11.3667,Debright Motel
569,Takoradi,GH,80.2,overcast clouds,4.8845,-1.7554,Raybow International Hotel
571,Minna,NG,79.48,few clouds,9.6139,6.5569,Royal Park hotel & suites
578,Ransang,PH,81.68,heavy intensity rain,8.9603,117.5828,Black and Crystal Sand Campsite
581,Saint-Paul,RE,78.91,few clouds,-21.0096,55.2707,Boucan Canot
584,Dumai,ID,81.21,few clouds,1.6833,101.45,Grand Zuri Dumai
593,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
601,Ibotirama,BR,78.46,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
602,Bodden Town,KY,78.8,broken clouds,19.2833,-81.25,Will T Place
611,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
616,Manado,ID,86.77,few clouds,1.487,124.8455,Aryaduta Hotel
617,Gizo,SB,83.46,light rain,-8.103,156.8419,Imagination Island
620,Umm Lajj,SA,77.2,overcast clouds,25.0213,37.2685,Moon light Furnished Units
623,Kawalu,ID,75.25,overcast clouds,-7.3817,108.2082,West Jontor
624,Touho,NC,79.99,broken clouds,-20.7833,165.2333,Auberge Timay Evasion
628,Tagusao,PH,81.36,moderate rain,9.1924,117.8141,Green Villa beach resort
631,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
632,San Pedro,PH,88.32,few clouds,14.35,121.0167,Esquivel's Garden And Resort
634,Cabinda,AO,80.2,light rain,-5.55,12.2,Hotel Maiombe
635,Samarai,PG,84.22,scattered clouds,-10.6167,150.6667,Nuli Sapi
636,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,The Passage
638,Bembereke,BJ,79.63,clear sky,10.2283,2.6634,Hotel Bio Guera
643,Kirakira,SB,83.79,overcast clouds,-10.4544,161.9205,SanBiz Lodge
645,Santa Rosa,PH,89.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
647,Aden,YE,79.7,few clouds,12.7794,45.0367,Sama Emirate Hotel
657,Ewa Beach,US,80.69,overcast clouds,21.3156,-158.0072,Base Lodging
664,Tutoia,BR,77.7,heavy intensity rain,-2.7619,-42.2744,Pousada Guará's
665,Matamoros,MX,80.2,clear sky,25.5333,-103.25,Quinta Belem
669,Kununurra,AU,87.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
672,Cockburn Town,TC,76.69,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
675,Lorengau,PG,82.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
678,Maragogi,BR,78.49,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
696,Tanuku,IN,79.16,overcast clouds,16.75,81.7,Hotel Sri Devi Residency
697,Tonk,IN,75.92,clear sky,26.1667,75.7833,Hotel sheetal Resort & Midway Restaurant
