City_ID,City,Country,Lat,Lng,Max Temp,%Humidity,%Cloudiness,Wind Speed,Description
105,Turayf,SA,31.6725,38.6637,44.85,57,0,11.5,clear sky
106,Vanimo,PG,-2.6741,141.3028,84.94,68,100,6.96,overcast clouds
107,Shetpe,KZ,44.1667,52.1167,37.24,94,100,6.53,overcast clouds
108,Wajir,KE,1.7471,40.0573,80.06,70,16,12.93,few clouds
109,Saint-Pierre,RE,-21.3393,55.4781,78.48,74,100,3.44,overcast clouds
110,Haines Junction,CA,60.7522,-137.5108,35.55,48,90,10.36,overcast clouds
111,Caravelas,BR,-17.7125,-39.2481,75.88,84,1,4.74,clear sky
112,Vardo,NO,70.3705,31.1107,26.55,57,100,12.75,light snow
113,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,47,8.46,scattered clouds
114,Dakar,SN,14.6937,-17.4441,66.33,88,20,11.5,few clouds
115,Qaanaaq,GL,77.484,-69.3632,10.33,95,100,6.89,overcast clouds
116,Mandalgovi,MN,45.7625,106.2708,36.93,31,100,7.45,overcast clouds
117,Cape Town,ZA,-33.9258,18.4232,67.12,73,0,13.8,clear sky
118,Bubaque,GW,11.2833,-15.8333,76.37,64,100,18.43,overcast clouds
119,Chernyshevskiy,RU,63.0128,112.4714,18.18,93,100,3.06,light snow
120,Faya,SA,18.3851,42.4509,57.31,40,0,3.0,clear sky
121,Inirida,CO,3.8653,-67.9239,74.05,96,90,3.31,light rain
122,Serebriya,UA,48.4559,27.7192,35.69,52,30,2.75,scattered clouds
123,Atasu,KZ,48.6814,71.6433,19.49,98,88,7.29,overcast clouds
124,Fairbanks,US,64.8378,-147.7164,40.96,55,0,3.44,clear sky
125,Mahebourg,MU,-20.4081,57.7,75.49,94,40,3.44,scattered clouds
126,Bengkulu,ID,-3.8004,102.2655,76.6,79,20,5.5,few clouds
127,Vihari,PK,30.0333,72.35,74.7,14,0,5.12,clear sky
128,Sangar,RU,63.9242,127.4739,17.67,87,98,12.64,overcast clouds
129,Luba,GQ,3.4568,8.5547,78.69,81,48,7.67,scattered clouds
130,Maine-Soroa,NE,13.2114,12.0241,69.93,11,13,12.12,few clouds
131,Kupino,RU,54.3663,77.2981,11.12,98,93,2.24,overcast clouds
132,Kaitangata,NZ,-46.2817,169.8464,67.01,62,1,4.83,clear sky
133,Airai,TL,-8.9266,125.4092,69.37,67,100,1.32,overcast clouds
134,Santa Isabel,BR,-23.3156,-46.2214,70.9,97,100,3.6,overcast clouds
135,Blonie,PL,52.1985,20.6171,46.15,54,9,11.05,clear sky
136,Nanakuli,US,21.3906,-158.1547,79.61,62,100,8.05,overcast clouds
137,Vostok,RU,46.4856,135.8833,26.31,84,100,9.06,overcast clouds
138,Sainte-Marie,RE,-20.8968,55.5496,78.96,83,100,8.05,overcast clouds
139,Viedma,AR,-40.8135,-62.9967,60.73,56,0,16.98,clear sky
140,Sur,OM,22.5667,59.5289,78.93,43,0,2.77,clear sky
141,Dawei,MM,14.0833,98.2,81.3,76,98,2.46,overcast clouds
142,Adrar,MR,20.5022,-10.0711,77.38,12,5,3.11,clear sky
143,Dikson,RU,73.5069,80.5464,-18.02,100,92,4.47,overcast clouds
144,Port Elizabeth,ZA,-33.918,25.5701,65.1,97,0,5.75,clear sky
145,Isangel,VU,-19.55,169.2667,87.91,70,75,4.61,broken clouds
146,Nacozari,MX,25.3366,-108.2574,81.1,38,33,7.18,scattered clouds
147,Narsaq,GL,60.9167,-46.05,41.22,73,27,6.78,scattered clouds
148,Caconda,AO,-13.7333,15.0667,60.8,93,97,1.05,light rain
149,Jamestown,US,42.097,-79.2353,20.79,57,100,14.97,overcast clouds
150,Warmbad,NA,-28.45,18.7333,76.68,25,36,6.69,scattered clouds
151,Asau,RO,46.4333,26.4,27.52,54,7,2.24,clear sky
152,Ilhabela,BR,-23.7781,-45.3581,75.58,92,100,4.5,overcast clouds
153,Longkou,CN,37.6508,120.3286,45.46,44,0,13.6,clear sky
154,Nome,US,64.5011,-165.4064,28.47,69,0,5.75,clear sky
155,Beringovskiy,RU,63.05,179.3167,8.73,84,12,7.85,few clouds
156,Udachnyy,RU,66.4167,112.4,7.45,92,99,4.52,overcast clouds
157,Baranchinskiy,RU,58.1617,59.6991,32.18,98,100,7.49,light snow
158,Kavieng,PG,-2.5744,150.7967,84.38,70,47,8.95,scattered clouds
159,Carutapera,BR,-1.195,-46.02,76.68,90,100,5.35,moderate rain
